tblCandidateDocumentMap|DocumentTypeID|tblMstrDocumentType|DocumentTypeID|unverified-empty
tblCandidateDocumentMap|JobSubscriberMapID|tblJobSubscriberMapping|JobSubscriberMapID|unverified-empty
tblCandidateDocumentUploaded|DocumentMapID|tblCandidateDocumentMap|DocumentMapID|unverified-empty
tblCandidateDocumentUploaded|DocumentTypeID|tblMstrDocumentType|DocumentTypeID|unverified-empty
tblClientContacts|ClientID|tblClientMstr|ClientID|confirmed
tblClientJobSkill|JobID|tblClientJobs|JobID|confirmed
tblClientJobSkill|SkillID|tblMstrSkills|SkillID|confirmed
tblClientJobs_EducationType|EducationTypeID|tblMstrEducationType|EducationTypeID|confirmed
tblClientJobs_EducationType|JobID|tblClientJobs|JobID|confirmed
tblClientJobs_Gendermapping|JobID|tblClientJobs|JobID|confirmed
tblClientJobs|ClientID|tblClientMstr|ClientID|confirmed
tblClientJobs|DesignationID|tblMstrDesignation|DesignationID|confirmed
tblClientJobs|EmployeeTypeID|tblMstrEmpType|EmployeeTypeID|confirmed
tblClientJobs|IndustryTypeID|tblMstrIndustryType|IndustryTypeID|confirmed
tblClientJobs|JobCityID|tblMstrCily|CityID|confirmed
tblClientJobs|WorkModeID|tblMstrWorkMode|WorkModeID|confirmed
tblClientMstr|CityID|tblMstrCily|CityID|confirmed
tblClientMstr|IndustryTypeID|tblMstrIndustryType|IndustryTypeID|confirmed
tblClientMstr|UserID|tblSecUser|UserID|confirmed
tblJobInterviewStatus|InterviewModeID|tblMstrInterviewMode|InterviewModeID|confirmed
tblJobInterviewStatus|JobSubscriberMapID|tblJobSubscriberMapping|JobSubscriberMapID|confirmed
tblJobSubscriberMapping|JobID|tblClientJobs|JobID|confirmed
tblJobSubscriberMapping|JobMapStatusID|tblMstrJobMappingStatus|JobMapStatusID|confirmed
tblJobSubscriberMapping|SubscriberID|tblSubscriberRegistration|SubscriberID|confirmed
tblJobSubscriberStatus|JobSubscriberMapID|tblJobSubscriberMapping|JobSubscriberMapID|confirmed
tblMstrCily|StateID|tblMstrState|StateID|confirmed
tblMstrCourse|EducationTypeID|tblMstrEducationType|EducationTypeID|confirmed
tblMstrEducationDegree|EducationTypeID|tblMstrEducationType|EducationTypeID|confirmed
tblMstrPerson|ClientID|tblClientMstr|ClientID|sentinel-zero
tblMstrState|CountryID|tblMstrCountry|CountryID|confirmed
tblMstrSubFunctions|FunctionID|tblMstrFunctions|FunctionID|confirmed
tblMstrTags|SkillID|tblMstrSkills|SkillID|confirmed
tblSecMapUserRoles|RoleId|tblSecRoles|RoleId|confirmed
tblSecMapUserRoles|UserID|tblSecUser|UserID|confirmed
tblSecUserLogin|UserID|tblSecUser|UserID|dirty-audit-log
tblSubscriberCVDetails|CityID|tblMstrCily|CityID|dirty
tblSubscriberCVDetails|CurrentCityID|tblMstrCily|CityID|confirmed
tblSubscriberCVDetails|IndustryTypeID|tblMstrIndustryType|IndustryTypeID|confirmed
tblSubscriberCVDetails|SkillID|tblMstrSkills|SkillID|confirmed
tblSubscriberCVDetails|SubFunctionID|tblMstrSubFunctions|SubFunctionID|confirmed
tblSubscriberCVDetails|SubscriberID|tblSubscriberRegistration|SubscriberID|confirmed
tblSubscriberCVUploaded|SubscriberID|tblSubscriberRegistration|SubscriberID|unverified-empty
tblSubscriberCertificate|SubscriberID|tblSubscriberRegistration|SubscriberID|confirmed
tblSubscriberEducation|CourseTypeID|tblMstrCourseType|CourseTypeID|dirty
tblSubscriberEducation|DegreeID|tblMstrEducationDegree|DegreeID|dirty
tblSubscriberEducation|SubscriberID|tblSubscriberRegistration|SubscriberID|confirmed
tblSubscriberEmployer|DesignationID|tblMstrDesignation|DesignationID|unverified-empty
tblSubscriberEmployer|EmployeeTypeID|tblMstrEmpType|EmployeeTypeID|unverified-empty
tblSubscriberEmployer|SubscriberID|tblSubscriberRegistration|SubscriberID|unverified-empty
tblSubscriberJobStatusLatest|ClientID|tblClientMstr|ClientID|sentinel-zero
tblSubscriberJobStatusLatest|JobID|tblClientJobs|JobID|sentinel-zero
tblSubscriberJobStatusLatest|JobMapStatusID|tblMstrJobMappingStatus|JobMapStatusID|sentinel-zero
tblSubscriberJobStatusLatest|JobSubscriberMapID|tblJobSubscriberMapping|JobSubscriberMapID|sentinel-zero
tblSubscriberJobStatusLatest|SubscriberID|tblSubscriberRegistration|SubscriberID|confirmed
tblSubscriberPrefferedLocations|CityID|tblMstrCily|CityID|confirmed
tblSubscriberPrefferedLocations|SubscriberID|tblSubscriberRegistration|SubscriberID|confirmed
tblSubscriberStatusHistory|ClientID|tblClientMstr|ClientID|confirmed
tblSubscriberStatusHistory|JobID|tblClientJobs|JobID|confirmed
tblSubscriberStatusHistory|StatusID|tblMstrStatus|StatusID|confirmed
tblSubscriberStatusHistory|SubscriberID|tblSubscriberRegistration|SubscriberID|dirty
tblSubscriberStatusHistory|UserID|tblSecUser|UserID|dirty
tblSubscriberTags|SubscriberID|tblSubscriberRegistration|SubscriberID|confirmed
tblSubscriberTags|TagID|tblMstrTags|TagID|confirmed
